Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2350595.7031	-14.9216	-19.0898	62.1410	1.5970	7.1229	-0.9521	-0.8248	-0.3883	-0.3297	2352187.5000	-12.6589	-5.9019	73.2594	8.5448	16.1285	1.1393	-0.0442	-0.7871	-0.5634	2352187.5000	176.5584	149.8293	-10.7280	2.9367	4.0139	-9.2748	-0.7586	-0.4292	0.4890	2351669.9219	-9.4750	35.4784	62.5439	-7.1698	13.4212	1.8880	0.2627	-0.7366	0.0913	2352187.5000	3509014448.7222	3509012096.5347	-38.8162	-142.6655	-43.4392	-8.2824	3.8311	0.1234	0.0163	-0.8851	0.2274	2352187.5000	199.1329	-111.9164	-41.4439	0.0438	29.7360	-19.6366	-0.8540	1.6218	0.7934	2349511.7187	-3.4723	2.4974	1.1087	0.3443	9.5508	-2.2644	0.2894	-0.8046	-0.2189	0.0000	0.0000
2350605.4687	34.7470	78.5878	74.5170	-0.7699	8.4976	1.4644	-0.8324	-0.4039	-0.3623	2352197.2656	-12.6589	-5.9019	73.2594	7.5896	15.5807	0.9931	-0.0212	-0.7832	-0.5355	2352197.2656	176.5584	149.8293	-10.7280	4.2603	4.4812	-9.6000	-0.7666	-0.4604	0.4405	2351679.6875	-9.4750	35.4784	62.5439	-7.4791	11.7411	1.9079	0.2706	-0.7243	0.1194	2352197.2656	3509014448.7320	3509012096.5347	-38.8162	-142.6655	-43.4392	0.8716	-0.7908	4.5153	0.0204	-0.8681	0.2105	2352197.2656	199.1329	-111.9164	-41.4439	-7.1839	-1.4010	-1.5161	-0.8100	1.6996	0.8169	2349521.4844	-3.4723	2.4974	1.1087	0.5027	9.5501	-2.3422	0.3173	-0.7969	-0.2120	0.0000	0.0000
2350615.2344	34.7470	78.5878	74.5170	0.2855	9.5668	3.3985	-0.8133	-0.4252	-0.3753	2352207.0312	3.2992	-0.0347	105.9713	6.7139	14.8854	1.7146	-0.0212	-0.7832	-0.5355	2352207.0312	176.5584	149.8293	-10.7280	5.3504	5.7305	-10.1612	-0.7666	-0.4604	0.4405	2351689.4531	12.7813	70.8352	103.8939	-7.8543	10.0609	3.0865	0.2706	-0.7243	0.1194	2352207.0312	3509014448.7417	3509012096.5347	25.0552	227.8405	-25.3368	10.8081	-2.0254	5.4758	0.0082	-0.8830	0.2147	2352207.0312	22.4852	175.8189	-19.3073	-7.4502	9.0904	-4.5067	-0.8360	1.6849	0.7934	2349531.2500	-3.4723	2.4974	1.1087	0.4223	9.6257	-2.4207	0.2913	-0.7969	-0.2143	0.0000	0.0000
2350625.0000	34.7470	78.5878	74.5170	3.7084	11.3234	2.9707	-0.8057	-0.4136	-0.3688	2352216.7969	3.2992	-0.0347	105.9713	6.4751	14.7302	1.7963	0.0058	-0.7949	-0.5505	2352216.7969	249.3862	95.7635	41.8878	4.8054	9.6586	-9.5036	-0.7907	-0.5042	0.3789	2351699.2187	12.7813	70.8352	103.8939	-7.8389	10.3663	4.6273	0.2804	-0.7449	0.1265	2352216.7969	3509014448.7515	3509012096.5347	25.0552	227.8405	-25.3368	9.4780	2.8606	4.1628	0.0082	-0.8830	0.2147	2352216.7969	22.4852	175.8189	-19.3073	4.6086	6.5447	-12.4183	-0.8360	1.6849	0.7934	2349541.0156	-5.8284	4.8585	1.2787	0.3419	9.5485	-2.4977	0.3080	-0.8027	-0.2120	0.0000	0.0000
2350634.7656	44.6473	160.7840	74.7993	5.3736	12.3162	2.1169	-0.7638	-0.3961	-0.4056	2352226.5625	3.2992	-0.0347	105.9713	6.1567	14.8909	2.2648	0.0327	-0.7715	-0.5548	2352226.5625	249.3862	95.7635	41.8878	5.3504	19.1179	-12.6000	-0.7867	-0.5229	0.3260	2351708.9844	12.7813	70.8352	103.8939	-7.6031	12.4284	4.9903	0.2980	-0.7428	0.1030	2352226.5625	3509014448.7613	3509012096.5347	25.0552	227.8405	-25.3368	15.0330	15.4725	-2.2053	-0.0082	-0.8936	0.2232	2352226.5625	22.4852	175.8189	-19.3073	1.8018	3.0634	-9.3473	-0.8280	1.6807	0.7934	2349550.7812	-5.8284	4.8585	1.2787	0.4231	9.6265	-2.3429	0.2839	-0.7701	-0.2097	0.0000	0.0000
2350644.5312	44.6473	160.7840	74.7993	4.5857	12.2399	3.0280	-0.7657	-0.4097	-0.4187	2352236.3281	15.5940	-74.3981	129.0661	4.1667	16.6904	2.7006	0.0327	-0.7715	-0.5548	2352236.3281	249.3862	95.7635	41.8878	11.5012	24.7976	-17.1745	-0.7686	-0.5396	0.2511	2351718.7500	12.7813	70.8352	103.8939	-5.9883	14.6432	3.9484	0.3314	-0.6975	0.1218	2352236.3281	3509014448.7710	3509012096.5347	-8.1904	-30.2253	11.3688	12.5293	17.7582	0.8533	0.0061	-0.8766	0.2126	2352236.3281	22.4852	175.8189	-19.3073	-1.1139	3.6034	-9.2998	-0.8400	1.6891	0.8052	2349560.5469	-5.8284	4.8585	1.2787	0.3435	9.6265	-2.3429	0.3210	-0.7778	-0.2051	0.0000	0.0000
2350654.2969	44.6473	160.7840	74.7993	4.2609	12.0107	2.4319	-0.7524	-0.4078	-0.4447	2352246.0937	15.5940	-74.3981	129.0661	-0.0522	20.0008	5.9366	0.0288	-0.7715	-0.5333	2352246.0937	145.3736	-28.6189	95.2192	12.5912	31.7503	-12.1073	-0.7686	-0.5396	0.2511	2351728.5156	16.7151	8.2780	136.2537	-2.9930	15.9415	1.6667	0.3314	-0.6975	0.1218	2352246.0937	3509014448.7808	3509012096.5347	-8.1904	-30.2253	11.3688	6.3484	10.1610	3.2206	0.0061	-0.8702	0.2126	2352246.0937	11.0445	-1.8594	8.7782	0.6247	6.4623	-8.8345	-0.8200	1.6660	0.7887	2349570.3125	-9.2190	8.5213	2.9601	0.3435	9.5501	-2.3422	0.2968	-0.7644	-0.2143	0.0000	0.0000
2350664.0625	22.0079	68.6354	72.5476	4.0987	10.7124	2.1457	-0.7390	-0.4175	-0.4382	2352255.8594	15.5940	-74.3981	129.0661	-4.1119	19.1558	7.2901	0.0635	-0.7969	-0.5591	2352255.8594	145.3736	-28.6189	95.2192	5.7397	23.2766	-12.4150	-0.7827	-0.5708	0.2291	2351738.2812	16.7151	8.2780	136.2537	0.3900	16.7053	-0.5365	0.3471	-0.6975	0.1335	2352255.8594	3509014448.7906	3509012096.5347	-8.1904	-30.2253	11.3688	2.6711	5.1060	3.1921	0.0041	-0.8702	0.2084	2352255.8594	11.0445	-1.8594	8.7782	-2.2079	5.0087	-8.3508	-0.8200	1.6660	0.7887	2349580.0781	-9.2190	8.5213	2.9601	0.2654	9.6281	-2.1874	0.3154	-0.7969	-0.2028	0.0000	0.0000
2350673.8281	22.0079	68.6354	72.5476	4.6543	10.7124	1.9145	-0.7429	-0.4583	-0.4555	2352265.6250	15.5940	-74.3981	129.0661	-6.7388	17.7363	5.8246	0.0846	-0.7676	-0.5613	2352265.6250	145.3736	-28.6189	95.2192	-4.4599	23.2768	-4.5531	-0.7203	-0.6146	0.2841	2351748.0469	16.7151	8.2780	136.2537	1.7141	15.5597	0.3110	0.3588	-0.6914	0.0913	2352265.6250	3509014448.8003	3509012096.5347	12.3843	6.6620	2.7163	2.5147	6.4374	4.1270	-0.0265	-0.8872	0.2168	2352265.6250	11.0445	-1.8594	8.7782	-0.3214	5.1523	-8.8690	-0.8340	1.6765	0.7934	2349589.8437	-9.2190	8.5213	2.9601	0.2639	9.7030	-2.3437	0.2950	-0.7816	-0.2120	0.0000	0.0000
2350683.5937	22.0079	68.6354	72.5476	5.2076	10.7888	1.4570	-0.7333	-0.4874	-0.4599	2352275.3906	23.7847	5.9179	193.4411	-8.0920	18.5143	5.5732	0.0846	-0.7676	-0.5613	2352275.3906	145.3736	-28.6189	95.2192	3.7153	30.6133	-16.0023	-0.7203	-0.6146	0.2841	2351757.8125	103.3522	-76.1907	152.8111	1.5014	14.5668	2.2531	0.3588	-0.6914	0.0913	2352275.3906	3509014448.8101	3509012096.5347	12.3843	6.6620	2.7163	5.5660	9.8634	4.5668	-0.0020	-0.8660	0.2063	2352275.3906	1.8934	-7.7970	8.2856	-0.4767	5.4651	-8.6333	-0.8460	1.6702	0.8169	2349599.6094	-9.2190	8.5213	2.9601	0.2639	9.5501	-2.3422	0.3173	-0.8142	-0.2005	0.0000	0.0000
2350693.3594	18.2973	47.1322	77.9903	4.9715	10.5597	1.7624	-0.7200	-0.4757	-0.4859	2352285.1562	23.7847	5.9179	193.4411	-7.7736	19.1322	4.9319	0.0942	-0.7793	-0.5462	2352285.1562	143.6128	186.0768	219.4455	7.9976	19.4429	-19.3140	-0.6640	-0.6042	0.2775	2351767.5781	103.3522	-76.1907	152.8111	0.1147	14.7196	2.8830	0.4098	-0.6728	0.0749	2352285.1562	3509014448.8199	3509012096.5347	12.3843	6.6620	2.7163	8.0697	10.1022	5.1175	-0.0020	-0.8660	0.2063	2352285.1562	1.8934	-7.7970	8.2856	-1.0275	5.4669	-8.5428	-0.8460	1.6702	0.8169	2349609.3750	-12.2607	9.2024	4.5365	0.1039	9.4728	-2.4192	0.3080	-0.7682	-0.2028	0.0000	0.0000
2350703.1250	18.2973	47.1322	77.9903	3.5386	10.2542	1.9302	-0.7200	-0.4874	-0.4729	2352294.9219	23.7847	5.9179	193.4411	-6.4204	17.7955	3.9365	0.1750	-0.7617	-0.5634	2352294.9219	143.6128	186.0768	219.4455	-1.3455	16.4237	-7.5121	-0.6519	-0.6729	0.2467	2351777.3437	103.3522	-76.1907	152.8111	-1.2001	15.4069	2.9665	0.4333	-0.6811	0.0468	2352294.9219	3509014448.8296	3509012096.5347	0.9581	-3.9374	16.5788	7.1308	9.1009	6.0757	0.0082	-0.8468	0.2021	2352294.9219	1.8934	-7.7970	8.2856	-0.8715	5.3097	-8.7019	-0.8200	1.6618	0.8005	2349619.1406	-12.2607	9.2024	4.5365	0.2623	9.4720	-2.4969	0.3098	-0.8103	-0.2074	0.0000	0.0000
2350712.8906	18.2973	47.1322	77.9903	2.1876	9.7959	2.3243	-0.6952	-0.4524	-0.4794	2352304.6875	-15.6604	106.7101	204.4816	-4.2711	15.5168	2.4096	0.2135	-0.7422	-0.5462	2352304.6875	143.6128	186.0768	219.4455	6.1290	15.2074	-11.4931	-0.6177	-0.6500	0.2731	2351787.1094	97.9795	-36.2635	148.3595	-1.3633	14.7196	2.1258	0.4549	-0.6152	0.0164	2352304.6875	3509014448.8394	3509012096.5347	0.9581	-3.9374	16.5788	5.7225	8.7018	5.0525	-0.0041	-0.8596	0.2189	2352304.6875	3.2031	7.8291	8.1502	-1.0275	5.1590	-8.5366	-0.8440	1.6744	0.7934	2349628.9062	-12.2607	9.2024	4.5365	0.2631	9.3964	-2.4184	0.3098	-0.7682	-0.1959	0.0000	0.0000
2350722.6562	18.2973	47.1322	77.9903	1.6328	9.7959	2.6307	-0.6914	-0.4718	-0.4772	2352314.4531	-15.6604	106.7101	204.4816	-2.5199	13.4706	0.7208	0.2135	-0.7422	-0.5462	2352314.4531	75.0944	34.3526	199.5774	6.2847	14.6407	-13.2561	-0.6177	-0.6500	0.2731	2351796.8750	97.9795	-36.2635	148.3595	-2.3792	13.9558	1.1400	0.4549	-0.6152	0.0164	2352314.4531	3509014448.8492	3509012096.5347	0.9581	-3.9374	16.5788	4.7054	9.4723	4.3337	-0.0041	-0.8596	0.2189	2352314.4531	3.2031	7.8291	8.1502	-0.8707	5.0804	-8.6178	-0.8360	1.6828	0.8005	2349638.6719	-11.7243	6.4931	4.9393	0.2631	9.4728	-2.4192	0.3265	-0.7778	-0.1912	0.0000	0.0000
2350732.4219	23.8357	36.2759	85.3862	1.7951	10.2542	2.9253	-0.6800	-0.4738	-0.5054	2352324.2187	-15.6604	106.7101	204.4816	-2.2015	11.3535	-0.2590	0.2423	-0.7520	-0.5226	2352324.2187	75.0944	34.3526	199.5774	8.7762	14.0077	-13.8125	-0.5674	-0.6750	0.2533	2351806.6406	97.9795	-36.2635	148.3595	-2.8496	13.2685	0.5339	0.4725	-0.6214	0.0094	2352324.2187	3509014448.8589	3509012096.5347	0.9581	-3.9374	16.5788	3.7665	9.3937	4.2554	0.0122	-0.8596	0.2126	2352324.2187	3.2031	7.8291	8.1502	-0.7918	5.0033	-8.6178	-0.8360	1.6828	0.8005	2349648.4375	-11.7243	6.4931	4.9393	0.3435	9.4736	-2.3414	0.3135	-0.7797	-0.1959	0.0000	0.0000
2350742.1875	23.8357	36.2759	85.3862	1.6305	10.5597	2.3975	-0.6762	-0.4816	-0.4902	2352333.9844	-28.8192	42.1015	173.7108	-2.9975	11.0359	-0.8030	0.2981	-0.7109	-0.5419	2352333.9844	75.0944	34.3526	199.5774	11.5791	12.2629	-15.7438	-0.5533	-0.7021	0.2423	2351816.4062	106.5207	41.6172	147.2830	-1.9937	12.3520	0.9977	0.5118	-0.5926	0.0023	2352333.9844	3509014448.8687	3509012096.5347	-7.5438	-23.0638	27.2774	3.9230	9.1589	4.0998	0.0265	-0.8489	0.2042	2352333.9844	5.5637	8.0119	8.5283	-0.9487	5.0050	-8.5351	-0.8300	1.6954	0.7958	2349658.2031	-11.7243	6.4931	4.9393	0.4239	9.5508	-2.2644	0.3284	-0.8142	-0.1912	0.0000	0.0000
2350751.9531	23.8357	36.2759	85.3862	0.9877	10.1778	1.8813	-0.6590	-0.5010	-0.5228	2352343.7500	-28.8192	42.1015	173.7108	-4.1915	10.2563	-0.7088	0.3154	-0.7129	-0.5333	2352343.7500	5.7313	-41.0810	143.9746	11.5012	9.4489	-14.7929	-0.5533	-0.7021	0.2423	2351826.1719	106.5207	41.6172	147.2830	-2.3713	12.5811	1.9256	0.5176	-0.6008	-0.0187	2352343.7500	3509014448.8784	3509012096.5347	-7.5438	-23.0638	27.2774	4.7054	9.1549	3.7047	0.0306	-0.8468	0.2253	2352343.7500	5.5637	8.0119	8.5283	-0.7123	5.1589	-8.5429	-0.8540	1.6555	0.7934	2349667.9687	-12.8787	3.6174	5.1068	0.2616	9.4713	-2.5747	0.3024	-0.7950	-0.1866	0.0000	0.0000
2350761.7187	14.2546	42.7694	89.8368	0.9847	9.7196	1.5851	-0.6648	-0.5359	-0.5076	2352353.5156	-28.8192	42.1015	173.7108	-5.1468	10.1846	-0.0784	0.3154	-0.7129	-0.5333	2352353.5156	5.7313	-41.0810	143.9746	10.2555	5.3871	-13.1264	-0.5312	-0.7208	0.2467	2351835.9375	106.5207	41.6172	147.2830	-2.5973	13.0394	2.5409	0.5176	-0.6008	-0.0187	2352353.5156	3509014448.8882	3509012096.5347	-7.5438	-23.0638	27.2774	5.0966	9.0002	3.7853	0.0306	-0.8468	0.2253	2352353.5156	5.5637	8.0119	8.5283	-0.8683	5.1621	-8.3807	-0.8420	1.6723	0.8192	2349677.7344	-12.8787	3.6174	5.1068	0.3404	9.6999	-2.6547	0.3135	-0.7874	-0.1820	0.0000	0.0000
2350771.4844	14.2546	42.7694	89.8368	1.2208	9.1850	1.2872	-0.6457	-0.5515	-0.5315	2352363.2812	-28.8365	-85.1235	138.0537	-5.7040	9.1000	0.7295	0.3269	-0.7383	-0.5204	2352363.2812	5.7313	-41.0810	143.9746	10.2555	5.3871	-13.1264	-0.4789	-0.7104	0.2643	2351845.7031	106.5207	41.6172	147.2830	-2.5152	11.8174	3.0155	0.5294	-0.5329	-0.0094	2352363.2812	3509014448.8980	3509012096.5347	-8.3583	-22.1234	32.6781	4.9401	8.6122	3.8682	0.0367	-0.8723	0.2253	2352363.2812	5.5637	8.0119	8.5283	-0.7911	5.2359	-8.5429	-0.8420	1.6723	0.8192	2349687.5000	-12.8787	3.6174	5.1068	0.1016	9.6234	-2.6539	0.3080	-0.7950	-0.1889	0.0000	0.0000
2350781.2500	14.2546	42.7694	89.8368	1.9358	9.4141	1.0522	-0.6324	-0.5456	-0.5184	2352373.0469	-28.8365	-85.1235	138.0537	-5.7040	7.8507	0.6759	0.3481	-0.6914	-0.5312	2352373.0469	-67.1299	-106.4594	28.3128	8.5426	2.2665	-11.4646	-0.4608	-0.7021	0.2797	2351855.4687	104.9747	105.2048	103.5587	-1.2747	10.5955	3.2470	0.5549	-0.5700	0.0047	2352373.0469	3509014448.9077	3509012096.5347	-8.3583	-22.1234	32.6781	4.9401	8.9145	2.9960	0.0469	-0.8574	0.2126	2352373.0469	5.1707	10.0877	6.6862	-0.6334	5.0049	-8.5414	-0.8460	1.6513	0.7911	2349697.2656	-15.6239	0.8476	5.9136	0.0220	9.6234	-2.6539	0.3228	-0.8046	-0.1820	0.0000	0.0000
2350791.0156	10.8707	89.2132	93.0420	1.9388	9.5668	1.3515	-0.6286	-0.5650	-0.5510	2352382.8125	-28.8365	-85.1235	138.0537	-5.3856	6.1300	0.3172	0.3481	-0.6914	-0.5312	2352382.8125	-67.1299	-106.4594	28.3128	6.5961	-0.5312	-8.8818	-0.4608	-0.7021	0.2797	2351865.2344	104.9747	105.2048	103.5587	0.8897	10.2900	2.9968	0.5549	-0.5700	0.0047	2352382.8125	3509014448.9175	3509012096.5347	-8.3583	-22.1234	32.6781	3.9230	8.8431	3.6289	0.0469	-0.8574	0.2126	2352382.8125	5.1707	10.0877	6.6862	-0.9494	4.7724	-8.6100	-0.8360	1.6828	0.7981	2349707.0312	-15.6239	0.8476	5.9136	0.0204	9.5454	-2.8087	0.2931	-0.7912	-0.1728	0.0000	0.0000
2350800.7812	10.8707	89.2132	93.0420	1.8561	9.4141	1.0530	-0.5886	-0.5301	-0.5271	2352392.5781	-28.8365	-85.1235	138.0537	-4.9876	4.8019	0.1865	0.3481	-0.6992	-0.5247	2352392.5781	-67.1299	-106.4594	28.3128	5.5061	-3.1760	-6.6932	-0.4869	-0.7375	0.2996	2351875.0000	104.9747	105.2048	103.5587	0.5787	10.1372	2.8470	0.5627	-0.4979	-0.0070	2352392.5781	3509014448.9273	3509012096.5347	-10.0625	-40.5382	45.0993	3.5318	8.9193	3.4701	0.0408	-0.8915	0.2168	2352392.5781	5.1707	10.0877	6.6862	-0.6343	5.0803	-8.6225	-0.8560	1.6450	0.8052	2349716.7969	-15.6239	0.8476	5.9136	0.0220	9.4705	-2.6524	0.3135	-0.7797	-0.1797	0.0000	0.0000
2350810.5469	10.8707	89.2132	93.0420	1.3036	9.1086	1.5880	-0.5771	-0.5437	-0.5683	2352402.3437	-56.6361	-66.8155	86.7150	-4.5100	2.4585	-0.0025	0.3558	-0.7109	-0.5097	2352402.3437	-67.1299	-106.4594	28.3128	5.1168	-4.2601	-5.2955	-0.4527	-0.6396	0.3348	2351884.7656	63.0491	133.1368	114.9908	0.1987	9.9081	3.5479	0.5627	-0.4918	0.0281	2352402.3437	3509014448.9370	3509012096.5347	-10.0625	-40.5382	45.0993	4.0795	8.9899	2.7582	0.0531	-0.8489	0.2295	2352402.3437	8.8901	7.0416	4.0355	-0.6303	5.2422	-8.2278	-0.8560	1.6450	0.8052	2349726.5625	-15.6239	0.8476	5.9136	0.2608	9.4705	-2.6524	0.3210	-0.8084	-0.1774	0.0000	0.0000
2350820.3125	11.2100	60.9342	94.8812	1.0660	9.2613	1.7393	-0.5619	-0.5437	-0.5445	2352412.1094	-56.6361	-66.8155	86.7150	-3.9527	1.4457	0.1750	0.3596	-0.7051	-0.5247	2352412.1094	-64.2204	-31.9466	-54.6111	4.8832	-4.6514	-5.2124	-0.4527	-0.6396	0.3348	2351894.5312	63.0491	133.1368	114.9908	0.3490	8.8389	3.0939	0.5725	-0.4959	0.0492	2352412.1094	3509014448.9468	3509012096.5347	-10.0625	-40.5382	45.0993	3.8447	8.5250	2.9209	0.0694	-0.8511	0.2168	2352412.1094	8.8901	7.0416	4.0355	-0.6335	5.3898	-8.5491	-0.8240	1.6891	0.7817	2349736.3281	-13.6188	-3.9352	4.1059	0.1032	9.2427	-2.4946	0.3173	-0.8027	-0.1751	0.0000	0.0000
2350830.0781	11.2100	60.9342	94.8812	1.4750	9.1850	2.7888	-0.5505	-0.5592	-0.5770	2352421.8750	-56.6361	-66.8155	86.7150	-3.3955	0.3532	0.1969	0.3596	-0.7051	-0.5247	2352421.8750	-64.2204	-31.9466	-54.6111	4.8832	-4.8790	-4.4418	-0.4889	-0.6354	0.3436	2351904.2969	63.0491	133.1368	114.9908	2.2766	8.0752	2.3874	0.5725	-0.4959	0.0492	2352421.8750	3509014448.9566	3509012096.5347	-10.1224	-32.8959	49.7706	2.8276	7.4395	3.2478	0.0694	-0.8511	0.2168	2352421.8750	8.8901	7.0416	4.0355	-0.6360	6.0779	-8.8016	-0.8620	1.6618	0.7864	2349746.0937	-13.6188	-3.9352	4.1059	0.0228	9.1654	-2.5716	0.3024	-0.7682	-0.1659	0.0000	0.0000
2350839.8437	11.2100	60.9342	94.8812	1.4765	9.1850	2.9392	-0.5524	-0.5981	-0.5683	2352431.6406	-47.6431	-62.9236	11.8239	-3.6343	-0.0354	0.3619	0.3481	-0.7168	-0.5118	2352431.6406	-64.2204	-31.9466	-54.6111	4.8832	-5.3464	-4.1298	-0.4930	-0.6146	0.3656	2351914.0625	46.8697	156.0908	111.2163	3.0459	7.0060	1.9272	0.5922	-0.4712	0.0609	2352431.6406	3509014448.9663	3509012096.5347	-10.1224	-32.8959	49.7706	2.8276	7.9712	1.9783	0.0816	-0.8489	0.2189	2352431.6406	2.9363	2.2383	9.5665	-0.6311	5.4715	-8.3120	-0.8460	1.6660	0.7887	2349755.8594	-13.6188	-3.9352	4.1059	-0.1349	9.1670	-2.4161	0.3191	-0.7912	-0.1774	0.0000	0.0000
2350849.6094	11.2100	60.9342	94.8812	1.5546	9.4141	2.7857	-0.5352	-0.5922	-0.5922	2352441.4062	-47.6431	-62.9236	11.8239	-3.7139	-0.2726	0.0521	0.3481	-0.7012	-0.5054	2352441.4062	-85.9098	-6.6491	-92.3806	4.5718	-4.7252	-4.7476	-0.4869	-0.5792	0.3943	2351923.8281	46.8697	156.0908	111.2163	2.8959	5.8604	2.4034	0.5902	-0.4362	0.0726	2352441.4062	3509014448.9761	3509012096.5347	-10.1224	-32.8959	49.7706	2.8276	7.9712	1.9783	0.0837	-0.8723	0.2295	2352441.4062	2.9363	2.2383	9.5665	-0.8675	5.2407	-8.3026	-0.8460	1.6660	0.7887	2349765.6250	-8.5323	-5.1007	0.1291	-0.2152	9.1662	-2.4938	0.3284	-0.7720	-0.1682	0.0000	0.0000
2350859.3750	3.2479	85.4078	98.1284	1.9517	8.8031	2.6375	-0.5200	-0.6019	-0.5835	2352451.1719	-47.6431	-62.9236	11.8239	-4.0323	-0.4264	0.2911	0.3423	-0.6953	-0.5097	2352451.1719	-85.9098	-6.6491	-92.3806	4.2603	-5.1888	-4.0483	-0.4869	-0.5792	0.3943	2351933.5937	46.8697	156.0908	111.2163	2.7311	5.7840	1.4022	0.5902	-0.4321	0.1124	2352451.1719	3509014448.9859	3509012096.5347	-9.5944	-28.7440	49.2454	2.2800	8.5948	2.1301	0.0837	-0.8723	0.2295	2352451.1719	2.9363	2.2383	9.5665	-0.7107	5.0081	-8.3807	-0.8480	1.6681	0.7887	2349775.3906	-8.5323	-5.1007	0.1291	-0.2137	8.8620	-2.3353	0.3173	-0.7778	-0.1774	0.0000	0.0000
2350869.1406	3.2479	85.4078	98.1284	1.7901	8.1158	2.4203	-0.5067	-0.6078	-0.6139	2352460.9375	-28.8487	-65.0101	-54.5264	-3.8731	-0.5777	0.7659	0.3423	-0.6953	-0.5097	2352460.9375	-85.9098	-6.6491	-92.3806	3.1703	-5.1056	-3.5773	-0.5211	-0.5687	0.4075	2351943.3594	46.1350	81.5550	100.3823	2.2653	5.4021	1.2563	0.5902	-0.4321	0.1124	2352460.9375	3509014448.9956	3509012096.5347	-9.5944	-28.7440	49.2454	1.4193	9.3009	2.7551	0.1041	-0.8723	0.2084	2352460.9375	2.9363	2.2383	9.5665	-0.7114	4.6216	-8.4526	-0.8500	1.6450	0.7840	2349785.1562	-8.5323	-5.1007	0.1291	-0.5329	9.0141	-2.4146	0.3080	-0.7778	-0.1682	0.0000	0.0000
